33106,25.84,-80.22
33206,25.72,-80.26
32143,29.42,-81.16
32163,28.93,-81.95
32896,28.32,-81.23
70873,30.45,-91.18
70097,30.03,-90.24
71150,32.52,-93.75
74439,35.88,-95.23
73039,34.62,-97.48
75358,32.94,-96.87
75033,33.14,-96.81
77523,29.76,-94.87
77498,29.63,-95.65
48193,42.16,-83.21
60503,41.71,-88.26
60491,41.60,-88.01
60484,41.44,-87.68
60586,41.61,-88.20
60696,41.85,-87.65
20417,38.90,-77.00
20588,38.74,-76.85
22350,48.31,-2.12
30270,33.40,-84.60
31169,33.38,-84.79
31144,34.02,-84.61
56901,38.90,-77.04
56902,38.89,-77.03
56915,38.92,-76.99
56933,38.86,-76.99
01195,42.10,-72.58
15273,40.37,-79.90
15288,40.44,-79.94
33900,26.62,-81.84
36210,33.65,-85.77
38227,36.26,-89.32
53199,42.55,-88.17
53244,42.94,-87.91
70500,30.22,-92.01
73451,34.17,-97.14
75344,32.78,-96.79
81075,37.29,-102.18
85096,33.44,-112.09
23825,37.08,-77.99
77246,29.64,-95.43
77250,29.70,-95.53
77276,29.75,-95.36
77278,29.76,-95.51
77286,29.67,-95.36
77294,29.86,-95.24
77296,29.76,-95.36
86555,31.38,-109.55
97475,44.05,-123.02
10200,40.77,73.95
09323,-44.25,33.53
00602,18.38,-67.18
00603,18.43,-67.15
00610,18.28,-67.14
00611,18.28,-66.79
00612,18.45,-66.73
00616,18.40,-66.66
00617,18.45,-66.53
00622,17.99,-67.15
00623,18.08,-67.14
00624,18.06,-66.72
00627,18.48,-66.84
00631,18.19,-66.82
00636,18.15,-67.06
00637,18.08,-66.96
00638,18.33,-66.47
00641,18.27,-66.70
00646,18.47,-66.27
00647,17.96,-66.94
00650,18.36,-66.56
00652,18.45,-66.60
00653,17.97,-66.93
00656,18.02,-66.79
00659,18.48,-66.82
00660,18.14,-67.12
00662,18.50,-67.02
00664,18.22,-66.59
00667,18.04,-67.06
00669,18.29,-66.88
00670,18.27,-67.06
00674,18.43,-66.48
00676,18.39,-67.11
00677,18.34,-67.25
00678,18.47,-66.93
00680,18.20,-67.14
00683,18.08,-67.04
00685,18.33,-66.99
00687,18.32,-66.40
00688,18.38,-66.62
00690,18.49,-67.09
00692,18.41,-66.32
00693,18.44,-66.39
00698,18.03,-66.86
00703,18.25,-66.10
00704,17.96,-66.22
00705,18.14,-66.26
00707,18.00,-65.90
00714,17.97,-66.06
00715,18.00,-66.56
00716,17.98,-66.60
00718,18.21,-65.73
00719,18.30,-66.24
00720,18.22,-66.39
00721,18.37,-65.77
00723,18.00,-66.01
00725,18.23,-66.03
00729,18.37,-65.90
08875,40.49,-74.48
08876,40.57,-74.61
08884,40.39,-74.39
08885,40.58,-74.81
08889,40.60,-74.76
08890,40.53,-74.56
08899,40.52,-74.36
08903,40.48,-74.44
08904,40.50,-74.42
08922,40.48,-74.45
08988,40.45,-74.48
10001,40.71,-73.99
10015,40.71,-74.00
10021,40.77,-73.95
10046,40.71,-74.01
10072,40.75,-73.99
10082,40.77,-73.98
10149,40.76,-73.98
10304,40.58,-74.14
10451,40.84,-73.87
10501,41.29,-73.76
10502,41.01,-73.84
10503,41.02,-73.87
10504,41.13,-73.71
10505,41.32,-73.74
10506,41.19,-73.64
10507,41.22,-73.69
10509,41.39,-73.61
10510,41.13,-73.84
10511,41.26,-73.94
10512,41.41,-73.68
10516,41.41,-73.95
10517,41.26,-73.89
10518,41.26,-73.59
10519,41.30,-73.71
10520,41.22,-73.89
10522,41.01,-73.86
10523,41.05,-73.81
10524,41.37,-73.92
10526,41.29,-73.64
10527,41.30,-73.75
10533,41.03,-73.86
10535,41.33,-73.79
10536,41.26,-73.68
10537,41.33,-73.88
10538,40.92,-73.75
10541,41.36,-73.74
10545,41.17,-73.83
10548,41.24,-73.94
10557,40.90,-73.82
10562,41.15,-73.87
10566,41.28,-73.92
10571,41.13,-73.79
10573,41.00,-73.66
10577,41.03,-73.71
10578,41.31,-73.65
10579,41.34,-73.87
10580,40.98,-73.69
10583,40.98,-73.77
10588,41.32,-73.82
10589,41.33,-73.69
10590,41.25,-73.54
10591,41.06,-73.86
10594,41.11,-73.76
10595,41.07,-73.77
10597,41.29,-73.60
10598,41.27,-73.78
10602,41.02,-73.75
10604,41.05,-73.74
10702,40.94,-73.86
10706,40.98,-73.87
10707,40.95,-73.82
10708,40.93,-73.82
10709,40.95,-73.80
10801,40.92,-73.77
10803,40.91,-73.80
10804,40.94,-73.78
10901,41.11,-74.14
10910,41.22,-74.18
10911,41.30,-73.99
10912,41.25,-74.34
10913,41.06,-73.95
10914,41.35,-74.19
10915,41.58,-74.29
10916,41.44,-74.25
10917,41.32,-74.12
10919,41.52,-74.38
10920,41.14,-73.94
10921,41.33,-74.35
10922,41.33,-73.98
10923,41.20,-74.00
10924,41.40,-74.32
10926,41.30,-74.14
10931,41.12,-74.17
10932,41.50,-74.38
10933,41.33,-74.53
10940,41.44,-74.42
10950,41.32,-74.18
10952,41.11,-74.06
10953,41.41,-74.05
10954,41.09,-74.01
10956,41.15,-73.99
10958,41.34,-74.45
10959,41.26,-74.36
10960,41.09,-73.91
10962,41.05,-73.94
10968,41.03,-73.91
10969,41.32,-74.38
10970,41.18,-74.05
10973,41.37,-74.49
10974,41.16,-74.19
10975,41.25,-74.17
10976,41.02,-73.90
10977,41.11,-74.04
10980,41.22,-73.99
10981,41.32,-74.27
10982,41.11,-74.10
10983,41.02,-73.95
10984,41.20,-74.01
10985,41.58,-74.36
10986,41.27,-73.98
10987,41.20,-74.20
10988,41.30,-74.56
10989,41.11,-73.94
10990,41.25,-74.35
10993,41.20,-73.98
10996,41.36,-74.02
10998,41.32,-74.54
11001,40.72,-73.70
11003,40.70,-73.70
11004,40.74,-73.71
11010,40.70,-73.67
11020,40.80,-73.73
11025,40.80,-73.72
11030,40.79,-73.69
11040,40.73,-73.68
11050,40.82,-73.68
11096,40.62,-73.75
11101,40.74,-73.93
11102,40.78,-73.91
11104,40.74,-73.92
11201,40.64,-73.94
11240,40.69,-73.98
11244,40.68,-73.99
11248,40.69,-73.99
11351,40.77,-73.84
11356,40.78,-73.84
11357,40.79,-73.81
11359,40.79,-73.77
11360,40.78,-73.78
11361,40.76,-73.77
11362,40.76,-73.74
11364,40.74,-73.75
11365,40.73,-73.79
11368,40.74,-73.85
11369,40.76,-73.88
11372,40.75,-73.88
11373,40.72,-73.87
11374,40.72,-73.86
11375,40.72,-73.84
11377,40.74,-73.90
11378,40.72,-73.90
11379,40.71,-73.88
11385,40.70,-73.89
11405,40.68,-73.78
11411,40.69,-73.73
11412,40.69,-73.75
11413,40.66,-73.75
11414,40.66,-73.84
11415,40.70,-73.82
11416,40.69,-73.85
11418,40.69,-73.83
11419,40.68,-73.82
11422,40.66,-73.73
11423,40.71,-73.76
11426,40.72,-73.71
11427,40.72,-73.74
11501,40.74,-73.63
11507,40.77,-73.64
11510,40.66,-73.61
11516,40.62,-73.72
11520,40.65,-73.58
11530,40.72,-73.64
11536,40.67,-73.70
11545,40.84,-73.61
11548,40.81,-73.62
11549,40.70,-73.61
11553,40.70,-73.59
11554,40.71,-73.55
11557,40.64,-73.69
11560,40.88,-73.58
11561,40.58,-73.65
11563,40.65,-73.67
11565,40.67,-73.67
11566,40.65,-73.55
11569,40.59,-73.58
11570,40.66,-73.63
11572,40.63,-73.63
11575,40.67,-73.58
11576,40.79,-73.64
11590,40.75,-73.58
11592,40.75,-73.57
11596,40.75,-73.64
11690,40.59,-73.81
11692,40.59,-73.79
11694,40.57,-73.85
11697,40.56,-73.91
11701,40.66,-73.41
11702,40.69,-73.32
11703,40.73,-73.32
11704,40.71,-73.35
11705,40.74,-73.05
11706,40.72,-73.25
11708,40.68,-73.41
11709,40.90,-73.56
11710,40.65,-73.52
11713,40.75,-72.94
11714,40.74,-73.48
11715,40.75,-73.03
11716,40.77,-73.12
11717,40.78,-73.24
11719,40.78,-72.91
11720,40.87,-73.08
11721,40.90,-73.37
11725,40.84,-73.28
11726,40.67,-73.39
11727,40.87,-73.00
11729,40.76,-73.32
11731,40.87,-73.32
11732,40.84,-73.52
11733,40.93,-73.10
11736,40.73,-73.44
11743,40.87,-73.40
11746,40.84,-73.40
11747,40.78,-73.41
11749,40.80,-73.17
11750,40.83,-73.37
11751,40.73,-73.21
11753,40.78,-73.54
11756,40.72,-73.51
11760,40.82,-73.21
11763,40.82,-72.98
11764,40.93,-72.98
11765,40.88,-73.55
11766,40.93,-73.01
11769,40.73,-73.13
11770,40.64,-73.15
11771,40.86,-73.53
11773,40.81,-73.50
11776,40.92,-73.06
11777,40.94,-73.05
11779,40.80,-73.12
11782,40.74,-73.08
11783,40.66,-73.49
11784,40.86,-73.04
11786,40.95,-72.90
11790,40.90,-73.12
11795,40.70,-73.29
11797,40.81,-73.47
11802,40.76,-73.52
11803,40.78,-73.47
11804,40.75,-73.45
11901,40.94,-72.67
11930,40.98,-72.18
11931,40.93,-72.61
11933,40.92,-72.76
11934,40.79,-72.79
11937,40.95,-72.19
11939,41.12,-72.34
11941,40.81,-72.70
11942,40.85,-72.57
11947,40.94,-72.57
11948,40.97,-72.55
11950,40.80,-72.84
11951,40.76,-72.84
11952,41.00,-72.53
11954,41.04,-71.94
11955,40.80,-72.82
11956,40.99,-72.48
11957,41.14,-72.30
11958,41.03,-72.46
11959,40.83,-72.60
11961,40.91,-72.88
11962,40.92,-72.27
11963,40.99,-72.29
11964,41.06,-72.32
11968,40.88,-72.39
11970,40.92,-72.64
11971,41.05,-72.42
11972,40.89,-72.42
11973,40.86,-72.87
11977,40.83,-72.66
11978,40.80,-72.61
11980,40.83,-72.92
12007,42.45,-74.03
12008,42.85,-73.90
12009,42.70,-74.03
12010,42.94,-74.19
12015,42.26,-73.81
12016,42.87,-74.35
12017,42.32,-73.47
12018,42.63,-73.55
12019,42.92,-73.84
12020,43.00,-73.85
12022,42.70,-73.38
12023,42.62,-74.13
12024,42.48,-73.54
12025,43.05,-74.19
12027,42.91,-73.90
12028,42.96,-73.45
12029,42.41,-73.41
12031,42.74,-74.45
12032,43.13,-74.48
12033,42.53,-73.70
12035,42.70,-74.33
12036,42.53,-74.68
12037,42.36,-73.59
12040,42.66,-73.37
12041,42.56,-73.97
12042,42.37,-73.86
12043,42.67,-74.48
12046,42.48,-73.92
12047,42.77,-73.70
12051,42.35,-73.80
12052,42.76,-73.47
12053,42.74,-74.18
12054,42.62,-73.83
12055,42.43,-74.19
12057,42.94,-73.39
12058,42.35,-73.90
12059,42.61,-74.05
12060,42.42,-73.48
12064,42.61,-74.67
12065,42.85,-73.80
12067,42.57,-73.88
12068,42.95,-74.37
12069,42.93,-74.20
12071,42.58,-74.39
12072,42.94,-74.37
12073,42.66,-74.21
12074,43.01,-74.03
12075,42.30,-73.64
12076,42.39,-74.39
12077,42.59,-73.78
12078,43.05,-74.34
12082,42.76,-73.43
12085,42.68,-74.01
12089,42.88,-73.34
12095,43.00,-74.37
12107,42.67,-74.11
12108,43.55,-74.43
12115,42.45,-73.58
12116,42.53,-74.88
12117,43.10,-74.26
12118,42.90,-73.69
12120,42.45,-74.14
12121,42.85,-73.60
12122,42.59,-74.32
12123,42.51,-73.61
12124,42.45,-73.79
12125,42.46,-73.39
12128,42.70,-73.76
12132,42.47,-73.60
12137,42.84,-74.13
12138,42.72,-73.36
12139,43.42,-74.53
12140,42.69,-73.56
12141,42.77,-74.16
12143,42.47,-73.81
12144,42.64,-73.73
12148,42.84,-73.85
12149,42.63,-74.56
12151,42.93,-73.79
12154,42.89,-73.58
12155,42.54,-74.82
12158,42.53,-73.80
12161,42.61,-73.84
12164,43.58,-74.38
12166,42.83,-74.45
12167,42.40,-74.61
12169,42.54,-73.44
12174,42.34,-73.75
12176,42.35,-73.95
12177,42.94,-74.30
12180,42.73,-73.67
12184,42.41,-73.67
12185,42.90,-73.56
12190,43.39,-74.29
12192,42.40,-73.81
12193,42.51,-74.04
12194,42.53,-74.45
12197,42.59,-74.75
12201,42.66,-73.79
12301,42.80,-73.92
12401,41.93,-73.99
12404,41.80,-74.23
12405,42.33,-74.09
12406,42.14,-74.62
12407,42.30,-74.33
12409,42.01,-74.17
12410,42.07,-74.44
12411,41.85,-74.06
12412,41.99,-74.26
12413,42.30,-74.00
12414,42.21,-73.86
12416,42.08,-74.26
12417,41.89,-73.99
12418,42.36,-74.17
12419,41.84,-74.10
12420,41.68,-74.41
12421,42.21,-74.56
12422,42.40,-74.19
12423,42.38,-74.11
